problem_number,problem_area,problem_statement,option_1,option_2,option_3,correct_answer
1,Regulations,A small UA causes an accident and your crew member loses consciousness. When do you report the accident?,No accidents need to be reported.,When requested by the UA owner.,Within 10 days of the accident.,3
2,Regulations,Under what condition would a small UA not have to be registered before it is operated in the United States?,"When the aircraft weighs less than .55 pounds on takeoﬀ, including everything that is on-board or attached to the aircraft.","When the aircraft has a takeoﬀ weight that is more than .55 pounds, but less than 55 pounds, not including fuel and necessary attachments.","All small UAS need to be registered regardless of the weight of the aircraft before, during, or after the ﬂight.",1
3,Regulations,"According to 14 CFR part 48, when must a person register a small UA with the Federal Aviation Administration?",All civilian small UAS weighing greater than .55 pounds must be registered regardless of its intended use.,When the small UA is used for any purpose other than as a model aircraft.,Only when the operator will be paid for commercial services.,1
4,Regulations,"According to 14 CFR part 48, when would a small UA owner not be permitted to register it?",The owner is less than 13 years of age.,All persons must register their small UA.,If the owner does not have a valid United States driver’s license.,1
5,Regulations,Where must a small unmanned aircraft’s serial number be listed when using either standard remote identiﬁcation or a broadcast module?,The aircraft’s Document of Compliance.,The manufacturer’s Method of Compliance.,The Certiﬁcate of Aircraft Registration.,3
6,Regulations,A small UA must be operated in a manner which,does not endanger the life or property of another.,requires more than one visual observer.,never exceeds 200 feet AGL,1
7,Regulations,You plan to release golf balls from your small UA at an altitude of 100 feet AGL. You must ensure the objects being dropped will,not create an undue hazard to persons or property.,land within 10 feet of the expected landing zone.,not cause property damage in excess of $300.,1
8,Regulations,"After having dinner and wine, your client asks you to go outside to demonstrate the small UAs capabilities. You must",pass a self-administered sobriety test before operating a small UA.,not operate a small UA within 8 hours of consuming any alcoholic beverage.,ensure that your visual observer has not consumed any alcoholic beverage in the previous 12 hours.,2
9,Regulations,"According to 14 CFR part 107, what is required to operate a small UA within 30 minutes after oﬃcial sunset?",Use of anti-collision lights.,Must be operated in a rural area.,Use of a transponder.,1
10,Regulations,"During a ﬂight of your small UA, you observe a hot air balloon entering the area. You should",yield the right-of-way to the hot air balloon.,"ensure the UA passes below, above, or ahead of the balloon.",expect the hot air balloon to climb above your altitude.,1
11,Regulations,"Prior authorization required for operation in certain airspace. According to 14 CFR part 107, how may a remote pilot operate an unmanned aircraft in class C airspace?",The remote pilot must have prior authorization from the Air Traﬃc Control (ATC) facility having jurisdiction over that airspace.,The remote pilot must monitor the Air Traﬃc Control (ATC) frequency from launch to recovery.,The remote pilot must contact the Air Traﬃc Control (ATC) facility after launching the unmanned aircraft.,1
12,Regulations,(Refer to FAA-CT-8080-2H.) You have been hired to use your small UAS to inspect the railroad tracks from Blencoe (SE of Sioux City) to Onawa. Will ATC authorization be required?,"Yes, Onawa is in Class D airspace that is designated for an airport.","No, your entire ﬂight is in Class G airspace.","Yes, you must contact the Onawa control tower to operate within 5 miles of the airport.",2
13,Regulations,"Preﬂight familiarization, inspection, and actions for aircraft operations. According to 14 CFR part 107, who is responsible for determining the performance of a small unmanned aircraft?",Remote pilot-in-command.,Manufacturer.,Owner or operator.,1
14,Regulations,"According to 14 CFR part 107, what is the maximum groundspeed for a small UA?",87 knots.,87 mph.,100 knots.,1
15,Regulations,(Refer to FAA-CT-8080-2H.) You have been contracted to inspect towers located approximately 4NM southwest of the Sioux Gateway (SUX) airport operating an unmanned aircraft. What is the maximum altitude above ground level (AGL) that you are authorized to operate over the top of the towers?,400 Feet AGL.,402 feet AGL.,802 feet AGL.,3
16,Regulations,"Upon request by the FAA, the remote pilot-in-command must provide",a logbook documenting small UA landing currency.,a remote pilot certiﬁcate with a small UAS rating.,any employer issued photo identiﬁcation.,2
17,Regulations,When may a remote pilot reduce the intensity of an aircraft’s lights during a night ﬂight?,At no time may the lights of an sUAS be reduced in intensity at night.,When a manned aircraft is in the vicinity of the sUAS.,When it is in the interest of safety to dim the aircraft’s lights.,3
18,Regulations,The refusal of a remote PIC to submit to a blood alcohol test when requested by a law enforcement oﬃcer,is grounds for suspension of revocation of their remote pilot certiﬁcate.,can be delayed for a period up to 8 hours after the request.,has no consequences to the remote pilot certiﬁcate.,1
19,Regulations,"To conduct Category 1 operations, a remote pilot in command must use a small unmanned aircraft that weighs",0.55 pounds or less.,0.65 pounds or less.,0.75 pounds or less.,1
20,Regulations,Which Category of small unmanned aircraft must have an airworthiness certiﬁcate issued by the FAA?,4,3,2,1
21,Regulations,"What must a person, who is manipulating the controls of a small unmanned aircraft, do if the standard remote identiﬁcation fails during a ﬂight?",Land the aircraft as soon as practicable.,Notify the nearest FAA Air Traﬃc facility.,Activate the aircraft’s navigation lights.,1
22,Airspace Classification and Operating Requirements,(Refer to FAA-CT-8080-2H.) The ﬂoor of Class B airspace at Dallas Executive (RBD) is,at the surface.,"3,000 feet MSL.","3,100 feet MSL.",2
